Subject,CreditValues 
Facilities manager,P
Theatre stage manager,r
"Teacher, special educational needs",s
Fine artist,K
Exhibition designer,N
"Lecturer, further education",O
Geographical information systems officer,f
Geophysicist/field seismologist,u
Call centre manager,F
Public house manager,g
"Scientist, physiological",p
Herbalist,H
"Clinical scientist, histocompatibility and immunogenetics",U
Print production planner,z
Horticultural therapist,F
Freight forwarder,F
Insurance broker,F
Maintenance engineer,l
"Surveyor, planning and development",n
Sports development officer,E
"Physicist, medical",m
"Engineer, mining",U
"Scientist, research (maths)",N
Field trials officer,w
Estate agent,N
"Doctor, hospital",E
Management consultant,Y
Building control surveyor,o
Fast food restaurant manager,q
Leisure centre manager,F
Management consultant,K
Fine artist,A
Museum/gallery exhibitions officer,T
Science writer,J
"Designer, textile",U
"Designer, jewellery",t
Manufacturing engineer,y
"Producer, television/film/video",i
"Programmer, applications",G
"Engineer, production",t
"Engineer, electronics",b
Therapeutic radiographer,U
Advertising copywriter,t
"Editor, magazine features",P
"Surveyor, land/geomatics",F
"Programme researcher, broadcasting/film/video",e
"Accountant, chartered",c
Television camera operator,f
"Teacher, music",j
Diagnostic radiographer,A
Hydrographic surveyor,O
Financial planner,v
Technical sales engineer,V
Geoscientist,S
"Chemist, analytical",Z
"Psychologist, educational",K
Environmental consultant,v
Astronomer,O
Equality and diversity officer,Z
Special educational needs teacher,N
Press sub,t
Customer service manager,o
Clinical molecular geneticist,X
Music tutor,u
Chartered legal executive (England and Wales),i
Media planner,m
"Horticulturist, amenity",q
Brewing technologist,P
Banker,q
"Surveyor, quantity",d
Oceanographer,e
"Psychologist, prison and probation services",d
Broadcast journalist,k
Biomedical engineer,a
Estate agent,c
"Administrator, Civil Service",n
Call centre manager,t
Geophysicist/field seismologist,r
"Editor, commissioning",e
Travel agency manager,h
"Engineer, mining",L
Publishing rights manager,p
"Scientist, physiological",O
Primary school teacher,B
Fitness centre manager,n
"Administrator, charities/voluntary organisations",M
Science writer,x
Forensic psychologist,S
Osteopath,Z
Product/process development scientist,Z
Water engineer,j
"Producer, television/film/video",l
"Geneticist, molecular",K
Youth worker,M
Prison officer,g
Child psychotherapist,W
"Nurse, children's",q
Special educational needs teacher,h
Technical author,n
Archivist,r
Legal secretary,c
Field trials officer,u
"Pilot, airline",t
Barrister,S
Conference centre manager,w
Physiological scientist,f
English as a foreign language teacher,I
"Civil engineer, contracting",j
Electrical engineer,x
"Physicist, medical",u
Phytotherapist,t
Office manager,v
Merchant navy officer,o
Cytogeneticist,d
"Surveyor, quantity",U
"Scientist, marine",I
Private music teacher,f
Field trials officer,N
Food technologist,c
Marketing executive,t
"Engineer, drilling",y
"Therapist, sports",d
Advertising account executive,D
Oceanographer,D
"Engineer, site",x
Science writer,F
Clinical cytogeneticist,E
"Therapist, drama",X
"Designer, interior/spatial",F
Transport planner,m
"Editor, magazine features",i
Counsellor,Q
Camera operator,u
Social researcher,L
Operations geologist,j
Production engineer,N
Armed forces operational officer,d
"Designer, exhibition/display",d
Water engineer,J
Engineering geologist,M
Data processing manager,Q
"Surveyor, commercial/residential",C
Fast food restaurant manager,m
Legal executive,W
Early years teacher,S
Cabin crew,m
Illustrator,S
Financial risk analyst,p
Medical secretary,a
"Engineer, technical sales",M
Special educational needs teacher,X
Corporate treasurer,l
Exercise physiologist,A
"Education officer, environmental",B
Proofreader,H
Legal secretary,w
Medical illustrator,P
Tour manager,U
Regulatory affairs officer,m
Civil Service fast streamer,n
Chiropodist,B
"Designer, blown glass/stained glass",Q
Prison officer,H
"Producer, television/film/video",F
"Editor, commissioning",p
"Social research officer, government",j
Technical sales engineer,d
Environmental manager,M
"Research officer, political party",w
Information officer,b
Research scientist (medical),p
"Buyer, industrial",R
Armed forces training and education officer,f
English as a second language teacher,V
Ship broker,Y
Special educational needs teacher,i
Private music teacher,i
Quantity surveyor,G
Petroleum engineer,F
"Surveyor, building",Z
Secondary school teacher,f
Prison officer,J
Magazine journalist,i
"Designer, exhibition/display",A
Systems developer,V
Camera operator,g
"Runner, broadcasting/film/video",t
Community development worker,m
Analytical chemist,T
English as a second language teacher,R
"Psychologist, counselling",o
Lobbyist,k
Multimedia specialist,H
Bonds trader,P
Intelligence analyst,p
"Administrator, charities/voluntary organisations",N
Artist,p
IT consultant,P
Electrical engineer,f
Geographical information systems officer,x
Cabin crew,G
"Journalist, magazine",j
"Social research officer, government",c
Games developer,d
Interior and spatial designer,h
"Engineer, manufacturing",n
"Presenter, broadcasting",d
Learning disability nurse,J
Glass blower/designer,M
"Engineer, civil (contracting)",G
Television camera operator,m
"Teacher, primary school",M
Biomedical engineer,w
"Administrator, arts",O
"Accountant, chartered",N
Barrister's clerk,l
"Administrator, sports",j
Art therapist,k
"Nurse, children's",Y
Graphic designer,b
Social worker,V
Interpreter,w
"Surveyor, mining",g
"Pharmacist, community",s
Restaurant manager,M
"Physicist, medical",S
Tourist information centre manager,U
Multimedia programmer,G
Estate manager/land agent,F
Adult nurse,N
Patent attorney,L
"Sound technician, broadcasting/film/video",e
Agricultural consultant,F
Art therapist,V
"Pharmacist, community",q
"Teacher, English as a foreign language",r
Volunteer coordinator,w
English as a foreign language teacher,F
Farm manager,w
Technical sales engineer,l
"Designer, ceramics/pottery",n
"Chemist, analytical",R
Broadcast engineer,v
Manufacturing engineer,b
Teaching laboratory technician,L
"Producer, radio",v
Oceanographer,r
"Designer, graphic",U
Public affairs consultant,j
Haematologist,p
Clinical research associate,n
Retail banker,T
Optometrist,G
Garment/textile technologist,p
"Lecturer, further education",z
Applications developer,i
Animator,i
Recruitment consultant,K
Garment/textile technologist,F
"Engineer, technical sales",W
"Nurse, learning disability",c
Statistician,A
Market researcher,d
Risk manager,U
Financial manager,J
"Designer, interior/spatial",e
"Radiographer, diagnostic",M
"Surveyor, planning and development",M
"Surveyor, insurance",u
Armed forces operational officer,C
Music therapist,Y
"Solicitor, Scotland",i
Barrister's clerk,Q
Applications developer,x
Camera operator,y
Hydrogeologist,Y
Technical brewer,k
Research scientist (maths),A
"Chemist, analytical",Q
Building surveyor,H
Electrical engineer,d
Chartered public finance accountant,W
Operational investment banker,y
"Therapist, sports",g
"Buyer, industrial",f
Merchant navy officer,f
"Conservation officer, historic buildings",P
Site engineer,L
Armed forces training and education officer,J
Counsellor,F
Dealer,k
Lawyer,a
Personal assistant,c
Insurance underwriter,Q
Textile designer,x
Ergonomist,P
Geophysicist/field seismologist,m
"Horticulturist, amenity",c
Mechanical engineer,g
Technical brewer,j
Museum education officer,A
Financial risk analyst,F
"Therapist, horticultural",w
Public relations officer,U
Community pharmacist,a
Theme park manager,Q
Horticultural consultant,S
Corporate investment banker,X
Land,i
"Secretary, company",f
"Designer, furniture",O
Museum education officer,l
Special educational needs teacher,r
Agricultural consultant,K
Industrial/product designer,d
Biomedical engineer,P
Armed forces technical officer,r
"Pharmacist, hospital",e
Chartered accountant,Y
Solicitor,w
Oncologist,w
Pension scheme manager,N
Advertising art director,A
"Radiographer, diagnostic",D
"Sound technician, broadcasting/film/video",S
Sports development officer,R
Sales executive,R
Tax inspector,x
Clinical molecular geneticist,o
"Investment banker, corporate",j
"Lecturer, higher education",Z
Musician,V
Administrator,C
"Radiographer, therapeutic",S
Social researcher,J
Operational investment banker,s
Petroleum engineer,i
Copy,x
Product/process development scientist,i
Garment/textile technologist,m
Occupational therapist,E
Meteorologist,g
Museum/gallery conservator,A
Research scientist (maths),N
Prison officer,Z
Geochemist,Q
"Scientist, physiological",a
"Pharmacist, community",f
"Psychologist, sport and exercise",r
Scientific laboratory technician,e
"Librarian, public",h
Archaeologist,R
Mechanical engineer,x
Speech and language therapist,R
"Scientist, research (physical sciences)",U
Automotive engineer,E
Advertising account executive,L
"Production designer, theatre/television/film",C
Oceanographer,E
Magazine journalist,H
Counselling psychologist,g
Catering manager,C
Newspaper journalist,h
Orthoptist,l
Forensic psychologist,u
Sub,s
Proofreader,M
Museum education officer,V
Engineering geologist,v
Geochemist,f
Phytotherapist,q
Operational researcher,F
Museum/gallery conservator,m
Child psychotherapist,D
Cabin crew,a
"Programme researcher, broadcasting/film/video",G
"Scientist, audiological",V
Metallurgist,M
Gaffer,H
"Development worker, community",I
Structural engineer,z
Hydrogeologist,c
"Secretary, company",N
Private music teacher,P
Optometrist,K
Homeopath,O
"Librarian, public",B
Curator,P
Visual merchandiser,W
Make,d
"Journalist, newspaper",o
Science writer,L
"Copywriter, advertising",S
Clinical biochemist,F
Marine scientist,m
Surgeon,S
Systems developer,V
"Biochemist, clinical",O
Tourist information centre manager,u
"Therapist, speech and language",R
Geophysicist/field seismologist,F
"Runner, broadcasting/film/video",X
"Lighting technician, broadcasting/film/video",B
Theme park manager,E
Holiday representative,t
"Therapist, horticultural",Z
Magazine journalist,d
Administrator,V
"Journalist, newspaper",J
Armed forces operational officer,O
Database administrator,G
Graphic designer,R
"Biochemist, clinical",O
"Therapist, nutritional",n
Fish farm manager,k
Exhibition designer,f
"Research officer, government",Y
Web designer,Z
"Engineer, structural",J
Community pharmacist,P
Dealer,y
"Horticulturist, amenity",q
Lexicographer,T
Environmental manager,A
"Psychologist, occupational",R
Ceramics designer,D
"Buyer, retail",R
Seismic interpreter,n
Television floor manager,S
Magazine journalist,t
Dance movement psychotherapist,U
Police officer,d
Further education lecturer,V
Podiatrist,P
Building surveyor,K
Theme park manager,B
Warden/ranger,I
Ecologist,j
Risk analyst,v
"Journalist, magazine",w
Insurance risk surveyor,g
Metallurgist,f
Health and safety adviser,B
Personal assistant,m
Mudlogger,G
Acupuncturist,O
"Scientist, research (life sciences)",n
Gaffer,d
Environmental education officer,Y
Sports therapist,t
Psychiatrist,y
"Engineer, automotive",T
"Surveyor, planning and development",n
"Exhibitions officer, museum/gallery",b
Manufacturing engineer,z
Forensic psychologist,o
Diplomatic Services operational officer,B
Land,y
Community development worker,t
Textile designer,L
Holiday representative,k
"Lecturer, higher education",m
Retail merchandiser,h
Risk manager,J
Pensions consultant,U
"Production assistant, television",o
Geochemist,j
Patent attorney,w
"Surveyor, quantity",g
"Pharmacist, hospital",U
Location manager,f
Electronics engineer,F
Conference centre manager,n
Structural engineer,R
"Engineer, manufacturing systems",j
Lawyer,l
"Engineer, manufacturing",P
Logistics and distribution manager,Q
"Journalist, newspaper",P
"Designer, ceramics/pottery",a
Advertising account planner,N
Social researcher,x
Public house manager,g
"Engineer, technical sales",r
Arboriculturist,W
"Conservator, furniture",S
Forensic scientist,V
Energy manager,X
Theatre director,v
Armed forces operational officer,k
"Conservation officer, nature",o
Sub,W
Training and development officer,r
Public affairs consultant,y
Catering manager,A
"Engineer, petroleum",K
Pensions consultant,r
Local government officer,Y
Theme park manager,Q
"Psychologist, counselling",X
Clinical biochemist,x
Broadcast engineer,j
Teaching laboratory technician,U
Legal executive,Q
General practice doctor,l
Audiological scientist,r
Environmental consultant,N
Interpreter,c
Sub,U
"Horticulturist, amenity",P
Trade mark attorney,n
"Designer, multimedia",m
Facilities manager,k
Furniture conservator/restorer,C
Art gallery manager,l
Passenger transport manager,m
Retail buyer,a
Holiday representative,q
Speech and language therapist,Y
Patent attorney,H
"Engineer, automotive",Q
Immigration officer,U
"Journalist, magazine",r
Oceanographer,w
Civil Service fast streamer,f
Colour technologist,G
"Pharmacist, hospital",W
"Engineer, biomedical",G
"Research officer, political party",K
Aid worker,N
"Engineer, automotive",o
"Designer, interior/spatial",z
Surgeon,X
"Therapist, occupational",J
Psychiatrist,F
Chemical engineer,j
"Buyer, retail",c
Ceramics designer,n
"Engineer, manufacturing systems",w
"Administrator, education",m
Corporate treasurer,U
Counsellor,S
IT trainer,v
"Designer, ceramics/pottery",b
"Psychologist, educational",E
Technical brewer,j
Financial manager,u
"Designer, interior/spatial",Z
Volunteer coordinator,c
Community education officer,T
Medical technical officer,o
Stage manager,M
Agricultural engineer,a
"Scientist, marine",o
Orthoptist,X
Operational investment banker,s
Retail manager,R
Speech and language therapist,v
Hydrographic surveyor,p
Gaffer,R
Physiological scientist,G
Forensic psychologist,q
Operational researcher,l
"Administrator, sports",B
"Accountant, chartered",G
"Engineer, materials",S
Radiation protection practitioner,R
Occupational therapist,Y
Speech and language therapist,Y
Hotel manager,J
"Designer, exhibition/display",q
Dancer,f
Copy,i
Warden/ranger,B
Environmental consultant,y
Aeronautical engineer,o
Consulting civil engineer,J
Arts administrator,r
Paramedic,v
"Therapist, sports",F
"Psychologist, counselling",t
Farm manager,M
Sales promotion account executive,p
Animator,P
Theme park manager,Z
Forensic psychologist,G
Museum education officer,i
Automotive engineer,Y
"Presenter, broadcasting",B
Dealer,u
Charity officer,J
"Buyer, industrial",v
Public affairs consultant,o
Radiation protection practitioner,W
"Surveyor, minerals",l
Pathologist,l
Biomedical engineer,B
Consulting civil engineer,S
Press photographer,v
Archaeologist,O
"Librarian, public",x
Charity fundraiser,p
"Engineer, energy",w
Commercial/residential surveyor,R
Building surveyor,x
Financial planner,R
Aid worker,J
"Runner, broadcasting/film/video",S
Community development worker,A
"Programmer, applications",o
Planning and development surveyor,F
Health visitor,o
Housing manager/officer,y
Microbiologist,J
"Conservator, museum/gallery",a
"Programme researcher, broadcasting/film/video",m
"Scientist, water quality",n
Dealer,X
Clinical psychologist,U
Advertising art director,P
Biomedical engineer,k
Proofreader,X
"Designer, blown glass/stained glass",U
Museum/gallery curator,M
Ambulance person,h
Advertising copywriter,y
Financial manager,g
"Engineer, structural",j
"Therapist, horticultural",G
Recycling officer,c
"Engineer, manufacturing",n
Ship broker,x
Sports administrator,S
Manufacturing engineer,V
Phytotherapist,U
Minerals surveyor,i
Commercial art gallery manager,G
"Therapist, speech and language",E
Chartered certified accountant,Z
Geophysical data processor,L
"Surveyor, hydrographic",N
General practice doctor,K
Tourism officer,W
"Biochemist, clinical",R
Educational psychologist,G
Forensic psychologist,N
Astronomer,T
Event organiser,P
Armed forces operational officer,o
Equality and diversity officer,J
Industrial buyer,i
Landscape architect,c
Astronomer,u
Ecologist,h
Information officer,M
"Engineer, mining",V
Press sub,o
"Designer, jewellery",H
Counselling psychologist,j
Race relations officer,E
Immunologist,L
Special effects artist,W
Arts administrator,W
Therapeutic radiographer,B
Building services engineer,T
Land,H
Legal executive,x
Archaeologist,A
Communications engineer,C
Psychiatrist,n
Hotel manager,W
Electrical engineer,N
Ship broker,q
Environmental education officer,c
Conference centre manager,V
Pharmacologist,H
Animal nutritionist,X
"Designer, fashion/clothing",U
Civil Service administrator,C
"Engineer, communications",R
Museum education officer,A
"Psychologist, sport and exercise",V
Recruitment consultant,A
"Engineer, communications",Y
Fitness centre manager,L
"Designer, blown glass/stained glass",d
Clinical psychologist,M
"Scientist, water quality",J
Animal nutritionist,i
Purchasing manager,F
Dance movement psychotherapist,r
Aid worker,v
Tax adviser,v
Estate manager/land agent,O
Music therapist,H
Sport and exercise psychologist,e
Corporate treasurer,Y
Retail banker,r
"Administrator, Civil Service",B
Purchasing manager,i
Research scientist (physical sciences),x
Armed forces logistics/support/administrative officer,j
"Scientist, research (physical sciences)",h
Accounting technician,U
"Solicitor, Scotland",H
Analytical chemist,n
Media buyer,U
Investment analyst,I
"Research officer, trade union",L
Advertising art director,q
Print production planner,r
IT consultant,l
"Scientist, forensic",f
"Programmer, applications",F
Meteorologist,L
Metallurgist,g
Counsellor,H
Ophthalmologist,o
"Librarian, academic",M
Lawyer,b
"Accountant, chartered certified",Q
Building services engineer,U
Government social research officer,L
"Editor, film/video",A
"Engineer, maintenance",A
"Copywriter, advertising",o
Information officer,k
"Optician, dispensing",J
Prison officer,X
Colour technologist,Q
Banker,M
Office manager,V
Systems analyst,H
Call centre manager,K
"Psychologist, sport and exercise",s
Historic buildings inspector/conservation officer,G
"Designer, blown glass/stained glass",z
Field seismologist,p
Public house manager,Y
Health service manager,v
"Accountant, chartered management",E
Clinical embryologist,J
Clinical molecular geneticist,X
Materials engineer,U
"Engineer, manufacturing",b
Furniture conservator/restorer,x
Armed forces training and education officer,T
Charity officer,L
Academic librarian,I
Writer,k
International aid/development worker,i
"Surveyor, rural practice",Y
Psychotherapist,y
Educational psychologist,O
"Surveyor, rural practice",e
Archaeologist,C
Charity officer,y
Orthoptist,m
Trade mark attorney,b
Occupational hygienist,E
Rural practice surveyor,M
"Engineer, electrical",z
"Scientist, research (physical sciences)",c
Architect,N
Primary school teacher,m
"Engineer, materials",i
Tax inspector,P
Records manager,x
"Surveyor, commercial/residential",Z
Communications engineer,p
Senior tax professional/tax inspector,v
"Scientist, marine",k
"Psychologist, forensic",l
Pharmacologist,r
Research scientist (life sciences),l
Media buyer,d
Retail buyer,F
Volunteer coordinator,E
"Surveyor, planning and development",J
"Therapist, drama",Y
Insurance claims handler,Y
Print production planner,A
Archivist,u
"Journalist, newspaper",W
"Presenter, broadcasting",f
Community pharmacist,S
Haematologist,y
Materials engineer,s
"Sound technician, broadcasting/film/video",D
Electronics engineer,w
Commercial horticulturist,h
Community development worker,y
"Accountant, chartered public finance",z
"Engineer, chemical",w
Sales promotion account executive,b
Physiotherapist,p
Transport planner,x
Publishing copy,R
Pensions consultant,g
Optometrist,T
"Surveyor, mining",q
Air cabin crew,F
Farm manager,Z
Fish farm manager,i
Magazine features editor,l
Insurance account manager,y
Data processing manager,T
Television camera operator,G
Publishing rights manager,e
"Civil engineer, contracting",d
Public relations account executive,o
Dramatherapist,T
Financial controller,q
Television floor manager,n
"Scientist, research (physical sciences)",t
Soil scientist,M
Insurance broker,U
Medical physicist,e
Product designer,t
Health and safety inspector,P
International aid/development worker,L
Production engineer,o
Occupational psychologist,V
Solicitor,P
Occupational psychologist,C
"Conservation officer, historic buildings",h
Counsellor,d
Geophysical data processor,Y
Facilities manager,v
Product/process development scientist,u
Phytotherapist,c
Financial risk analyst,W
"Nurse, adult",H
Clinical psychologist,h
Private music teacher,R
Fashion designer,i
Social worker,d
Insurance risk surveyor,x
"Loss adjuster, chartered",s
Government social research officer,u
Curator,n
Systems analyst,j
Actuary,B
Conference centre manager,V
Lobbyist,L
Paediatric nurse,t
"Psychologist, occupational",a
"Geologist, wellsite",I
Mental health nurse,O
"Engineer, building services",g
Probation officer,X
"Nurse, adult",H
Community education officer,s
"Editor, magazine features",A
Risk manager,w
"Copywriter, advertising",l
"Engineer, maintenance",w
Clinical molecular geneticist,e
"Programmer, applications",t
"Administrator, sports",G
Politician's assistant,q
Estate manager/land agent,v
Trade union research officer,B
"Education officer, community",Z
"Chemist, analytical",r
Clinical psychologist,z
"Administrator, local government",E
"Scientist, audiological",h
Estate agent,q
"Psychologist, clinical",o
Training and development officer,S
Medical physicist,l
Lexicographer,W
Telecommunications researcher,y
Social researcher,i
Electrical engineer,P
Multimedia specialist,A
Personal assistant,o
"Chemist, analytical",C
Clinical molecular geneticist,C
Marketing executive,x
Geophysical data processor,h
Sales promotion account executive,Y
"Accountant, chartered",D
"Geologist, engineering",B
Education administrator,c
Occupational therapist,w
"Librarian, public",J
"Engineer, production",N
Oceanographer,B
Dealer,t
"Engineer, automotive",u
"Therapist, nutritional",u
Research scientist (maths),z
Health service manager,K
Social researcher,g
Database administrator,Z
Licensed conveyancer,O
Bonds trader,d
"Engineer, drilling",S
Restaurant manager,v
Waste management officer,x
"Pilot, airline",v
"Engineer, civil (consulting)",u
"Horticulturist, amenity",u
"Teacher, music",L
Museum education officer,x
Community pharmacist,a
Meteorologist,p
Radio producer,Y
Barrister,T
"Engineer, electronics",n
Armed forces training and education officer,c
Soil scientist,G
Production manager,H
Psychiatric nurse,C
Radiation protection practitioner,L
Rural practice surveyor,g
Applications developer,k
Publishing rights manager,g
Fitness centre manager,h
Commissioning editor,S
"Engineer, communications",v
Human resources officer,s
Child psychotherapist,k
Risk analyst,S
Contracting civil engineer,f
Trade mark attorney,F
Dentist,U
Hotel manager,p
Outdoor activities/education manager,q
Set designer,o
Analytical chemist,L
Biomedical engineer,t
Careers adviser,H
"Designer, exhibition/display",l
Cytogeneticist,d
Veterinary surgeon,P
Youth worker,a
Forensic psychologist,l
Catering manager,N
Ambulance person,o
Museum/gallery conservator,a
"Designer, furniture",h
Clothing/textile technologist,b
"Engineer, structural",u
"Psychologist, clinical",q
"Secretary, company",K
Animator,F
Petroleum engineer,r
Futures trader,j
Visual merchandiser,T
Geophysical data processor,N
"Psychologist, prison and probation services",m
Art gallery manager,g
Armed forces logistics/support/administrative officer,R
IT consultant,y
Office manager,K
"Scientist, product/process development",k
Fashion designer,v
"Programme researcher, broadcasting/film/video",s
"Teacher, English as a foreign language",U
Land,o
"Radiographer, therapeutic",k
Quarry manager,Y
"Education officer, community",O
Clinical embryologist,A
Dealer,c
"Conservation officer, nature",Q
Automotive engineer,e
Public relations officer,f
Volunteer coordinator,k
"Nurse, mental health",J
"Solicitor, Scotland",a
Toxicologist,B
"Administrator, education",m
"Research officer, government",W
"Development worker, community",M
"Runner, broadcasting/film/video",u
Trading standards officer,C
"Engineer, water",T
"Production assistant, television",r
Radiation protection practitioner,N
Licensed conveyancer,i
"Optician, dispensing",V
Dietitian,u
Exhibition designer,r
"Doctor, general practice",o
Mining engineer,Z
Advertising account planner,R
Systems developer,C
Leisure centre manager,F
Site engineer,E
Senior tax professional/tax inspector,M
Theatre director,M
Fisheries officer,H
Television camera operator,u
"Therapist, speech and language",i
"Pharmacist, hospital",s
Software engineer,S
"Producer, radio",J
Management consultant,f
"Psychologist, educational",D
"Buyer, retail",d
Occupational therapist,C
Ranger/warden,H
Radio broadcast assistant,O
Solicitor,l
Medical illustrator,X
Estate agent,A
"Producer, radio",J
Dealer,H
"Investment banker, corporate",F
English as a foreign language teacher,k
Lobbyist,e
"Pharmacist, community",w
"Engineer, building services",h
Special effects artist,e
Holiday representative,e
"Nurse, learning disability",D
Public house manager,z
"Doctor, hospital",X
Call centre manager,o
Lawyer,g
Glass blower/designer,G
Chiropodist,y
"Engineer, maintenance",l
Building surveyor,L
Contracting civil engineer,v
"Administrator, sports",e
Jewellery designer,l
Solicitor,H
Meteorologist,F
Engineering geologist,K
Learning mentor,E
"Therapist, nutritional",r
Set designer,X
Stage manager,q
Actuary,N
Facilities manager,U
Arboriculturist,L
Information officer,N
"Producer, radio",j
"Psychologist, clinical",w
Patent examiner,w
"Scientist, research (medical)",S
"Engineer, drilling",f
Waste management officer,u
Sports therapist,v
Public relations officer,v
Health and safety inspector,t
Aid worker,w
"Designer, interior/spatial",t
Financial controller,t
Tax adviser,M
Immunologist,U
"Production designer, theatre/television/film",x
International aid/development worker,p
Health and safety inspector,w
Licensed conveyancer,m
Community pharmacist,E
Brewing technologist,f
"Engineer, water",O
Learning disability nurse,u
"Pilot, airline",r
"Merchandiser, retail",L
Secondary school teacher,C
Manufacturing systems engineer,H
"Engineer, site",r
Interpreter,v
Chiropractor,g
"Doctor, hospital",A
Academic librarian,s
Air traffic controller,M
Lawyer,E
Academic librarian,B
Biomedical engineer,w
Clinical molecular geneticist,e
"Production assistant, television",s
Chartered management accountant,m
Health and safety adviser,K
Clothing/textile technologist,R
Plant breeder/geneticist,Q
Paediatric nurse,L
"Runner, broadcasting/film/video",C
Public librarian,a
"Therapist, speech and language",V
Osteopath,y
"Education officer, environmental",p
"Designer, ceramics/pottery",s
Chiropractor,r
Airline pilot,w
"Administrator, arts",o
Furniture designer,Q
Museum/gallery conservator,L
Radio broadcast assistant,V
Horticultural therapist,U
Armed forces logistics/support/administrative officer,s
"Civil engineer, consulting",U
Waste management officer,Y
Insurance broker,F
Police officer,Y
Transport planner,S
"Lighting technician, broadcasting/film/video",y
"Programmer, systems",O
Teaching laboratory technician,c
Magazine features editor,C
Dentist,u
Conference centre manager,y
Chemical engineer,M
Town planner,T
Biomedical scientist,J
"Investment banker, corporate",i
Environmental manager,m
"Engineer, materials",O
Ceramics designer,P
Economist,d
Nature conservation officer,J
Television camera operator,f
Architect,g
"Civil engineer, consulting",a
Claims inspector/assessor,D
"Producer, television/film/video",r
Psychiatrist,C
Brewing technologist,f
Interior and spatial designer,I
"Therapist, horticultural",Z
Production manager,o
Contracting civil engineer,V
Health and safety adviser,i
"Surveyor, planning and development",T
Theatre director,Z
Agricultural consultant,W
Theatre director,z
Press photographer,V
Charity fundraiser,b
Police officer,e
"Surveyor, insurance",D
Tourism officer,j
Lawyer,d
"Scientist, clinical (histocompatibility and immunogenetics)",v
"Psychologist, occupational",D
"Designer, blown glass/stained glass",H
Animator,G
Building control surveyor,e
Interpreter,H
Product designer,B
Housing manager/officer,a
Forensic scientist,N
"Teacher, adult education",m
Interpreter,i
Facilities manager,B
Furniture designer,s
"Designer, industrial/product",I
Advertising art director,O
"Accountant, chartered",t
"Doctor, general practice",B
Oncologist,p
"Engineer, communications",n
Science writer,I
Financial manager,f
Oceanographer,E
Data processing manager,Q
"Engineer, aeronautical",z
Garment/textile technologist,o
Media buyer,U
Cabin crew,M
Careers information officer,c
Equities trader,R
"Engineer, control and instrumentation",u
Acupuncturist,n
Management consultant,s
Regulatory affairs officer,t
Passenger transport manager,w
IT consultant,T
Petroleum engineer,M
Best boy,e
Petroleum engineer,G
Geochemist,q
"Designer, interior/spatial",C
Applications developer,h
Legal executive,x
IT technical support officer,M
Scientific laboratory technician,g
Animal technologist,s
Records manager,u
Physiological scientist,Q
Homeopath,o
Historic buildings inspector/conservation officer,l
Chiropodist,D
Freight forwarder,i
Graphic designer,D
Cartographer,E
TEFL teacher,J
Operational investment banker,v
Armed forces training and education officer,w
Mechanical engineer,A
"Therapist, nutritional",j
"Scientist, physiological",T
Merchant navy officer,J
Sports development officer,S
"Administrator, arts",l
Ergonomist,N
Office manager,v
"Civil engineer, consulting",l
"Engineer, civil (consulting)",U
Telecommunications researcher,n
Public relations account executive,U
"Teacher, music",x
Forest/woodland manager,C
Clinical embryologist,I
Nature conservation officer,x
Financial planner,Y
"Scientist, biomedical",P
Acupuncturist,a
Building control surveyor,f
Animal technologist,P
Learning disability nurse,C
"Geologist, engineering",f
Government social research officer,i
Chartered certified accountant,w
IT sales professional,E
"Education officer, environmental",U
"Therapist, speech and language",v
Research scientist (medical),b
Actuary,w
"Scientist, marine",p
"Teacher, adult education",T
Bookseller,t
Quality manager,q
Armed forces operational officer,a
Diplomatic Services operational officer,L
Chartered loss adjuster,Q
Interior and spatial designer,k
Forensic scientist,J
Production manager,i
"Scientist, research (physical sciences)",Z
"Engineer, manufacturing systems",J
"Therapist, music",Y
"Chemist, analytical",V
Clothing/textile technologist,x
Clinical molecular geneticist,k
Market researcher,w
"Solicitor, Scotland",k
Solicitor,M
Ceramics designer,l
Geophysicist/field seismologist,h
Volunteer coordinator,c
"Surveyor, land/geomatics",e
Human resources officer,w
Company secretary,w
Aeronautical engineer,S
Medical physicist,R
Tour manager,B
Special effects artist,q
Financial planner,V
Pathologist,D
"Engineer, electrical",B
Management consultant,N
Clinical biochemist,b
"Surveyor, mining",F
Quarry manager,M
Clothing/textile technologist,q
Location manager,Z
Haematologist,o
Higher education careers adviser,G
"Engineer, aeronautical",j
"Development worker, community",q
Horticultural therapist,o
Plant breeder/geneticist,a
Chiropodist,c
Corporate treasurer,F
Conference centre manager,f
"Teacher, primary school",s
"Teacher, adult education",p
Exercise physiologist,g
"Radiographer, therapeutic",H
"Engineer, site",A
Retail buyer,n
"Civil engineer, contracting",i
Quarry manager,r
Clinical psychologist,C
Trade mark attorney,t
Podiatrist,H
Commissioning editor,L
English as a second language teacher,i
Museum/gallery exhibitions officer,c
"Engineer, manufacturing systems",q
Cabin crew,Z
Patent examiner,R
Solicitor,l
"Merchandiser, retail",i
Textile designer,d
Adult nurse,s
Trade union research officer,k
Community pharmacist,z
Press photographer,y
Research scientist (medical),g
Clinical psychologist,c
Nutritional therapist,H
Sports administrator,r
Geoscientist,n
"Librarian, public",k
"Civil engineer, consulting",Z
Medical laboratory scientific officer,t
Regulatory affairs officer,c
Building control surveyor,j
Educational psychologist,W
